budget,revenue,release_date,genres,vote_average,vote_count,runtime,director
28000000000.0,5207157.0,2023-08-02,Action|Adventure|Drama,5.8,10000,129.0,Kim Yong-hwa
24000000000.0,29902716.0,2021-07-28,Action|Drama|Thriller,7.0,8400,121.0,Ryoo Seung-wan
22000000000.0,545094.0,2025-08-08,Animation|Adventure|Comedy,7.9,3600,102.0,Ryan Adriandhy
12000000000.0,3872374.0,2022-09-21,Action|Crime|Horror,6.1,9200,122.0,Hongsun Kim
10000000000.0,4270030.0,2024-06-05,Drama|Science Fiction,6.2,3000,113.0,"Sharon S. Park, Kim Tae-yong"
4100000000.0,50164785.0,2022-09-09,Action|Adventure|Fantasy,5.6,115000,167.0,Ayan Mukerji
2000000000.0,,2020-02-01,Drama|History|War,7.5,3000,100.0,Mohammad Hossein Mahdavian
1800000000.0,12093536.0,2022-08-11,Comedy|Drama|Romance,5.6,181000,159.0,Advait Chandan
1150000000.0,326636.0,2021-09-23,Drama|History|Romance,6.2,3400,169.0,Ildikó Enyedi
1000000000.0,1775360.0,2021-12-02,Action|Drama|History,5.8,9600,181.0,Priyadarshan
900000000.0,32137136.0,2022-09-30,Action|Adventure|Drama,6.3,4900,112.0,"Shinji Higuchi, Ikki Todoroki"
800000000.0,109706.0,2023-08-25,Action|Drama|Thriller,3.4,1500,106.0,Asif Akbar
700000000.0,13941539.0,2022-10-13,Action|Drama|Fantasy,8.4,12000,153.0,Bilal Lashari
650000000.0,16653687.0,2020-01-01,Action|Science Fiction,5.6,6900,134.0,Fedor Bondarchuk
600000000.0,398615.0,2022-07-01,Biography|Drama,8.6,62000,157.0,Madhavan
545000000.0,516441.0,2021-09-02,Biography|Drama,7.0,3200,124.0,Gábor Herendi
510000000.0,,2021-03-19,Crime|Drama|Thriller,4.5,3000,85.0,Jeffrey Gee Chin
500000000.0,7099734.0,2020-12-10,Adventure|Drama|Romance,7.1,8800,130.0,Michael Lockshin
500000000.0,2973347.0,2022-11-18,Crime|Drama|Mystery,8.2,52000,140.0,Abhishek Pathak
465000000.0,1004004592.0,2022-06-01,Adventure|Action|Science Fiction,6.611,6918,147.0,Colin Trevorrow
422878491.0,422878491.0,2024-02-10,Comedy|Drama|Sport,6.9,1500,121.0,Han Han
414900000.0,955775804.0,2022-05-06,Action|Adventure|Fantasy,6.9,541000,126.0,Sam Raimi
400000000.0,1483786296.0,2025-12-19,Animation|Action|Adventure,7.4,136000,197.0,James Cameron
400000000.0,598767057.0,2025-05-30,Action|Adventure|Thriller,7.2,221000,169.0,Christopher McQuarrie
387200000.0,383963057.0,2023-06-30,Action|Adventure|Science Fiction,6.5,231000,154.0,James Mangold
358158547.0,853145.0,2022-02-17,Animation|Family|Fantasy,3.2,2000,94.0,Vasiliy Rovenskiy
355100000.0,569642672.0,2023-05-26,Adventure|Family|Fantasy,7.2,178000,135.0,Rob Marshall
354000000.0,117368.0,2020-09-24,Drama|Romance,6.5,3000,95.0,Lili Horvát
350000000.0,2334484620.0,2022-12-16,Animation|Action|Adventure,7.5,605000,192.0,James Cameron
340000000.0,704875015.0,2023-05-17,Action|Adventure|Crime,5.7,145000,141.0,Louis Leterrier
320000000.0,,2025-03-14,Action|Adventure|Comedy,5.9,83000,125.0,"Anthony Russo, Joe Russo"
319000000.0,952861.0,2021-12-02,Biography|Drama|History,6.3,2200,105.0,Renat Davletyarov
310000000.0,4082551.0,2024-12-21,Action|Drama|Thriller,6.5,4400,117.0,Donnie Yen
300000000.0,,2021-03-18,Action|Adventure|Fantasy,7.9,471000,242.0,Zack Snyder
300000000.0,4567946.0,2023-05-05,Action|Drama|Thriller,8.3,16000,150.0,Jude Anthany Joseph
300000000.0,136784593.0,2023-01-22,Drama|History|Thriller,6.3,8600,128.0,Er Cheng
291000000.0,571125435.0,2023-07-12,Action|Adventure|Thriller,7.6,324000,163.0,Christopher McQuarrie
250000000.0,3800771.0,2024-01-25,Action|Drama,6.2,54000,166.0,Siddharth Anand
250000000.0,845555777.0,2023-05-03,Action|Adventure|Comedy,7.9,466000,150.0,James Gunn
250000000.0,774153007.0,2021-09-30,Action|Adventure|Thriller,7.3,484000,163.0,Cary Joji Fukunaga
250000000.0,462180717.0,2024-11-22,Action|Adventure|Drama,6.5,291000,148.0,Ridley Scott
250000000.0,186000759.0,2024-11-08,Action|Adventure|Comedy,6.2,158000,123.0,Jake Kasdan
250000000.0,631627111.0,2025-06-25,Action|Drama,7.767,3477,156.0,Joseph Kosinski
250000000.0,760928081.0,2022-07-06,Action|Adventure|Comedy,6.1,457000,118.0,Taika Waititi
250000000.0,220699.0,2022-09-08,Action|Drama|History,6.7,1700,158.0,Vinayan
250000000.0,859208836.0,2022-11-11,Action|Adventure|Drama,6.6,366000,161.0,Ryan Coogler
250000000.0,205679463.0,2025-03-21,Adventure|Family|Fantasy,2.2,394000,109.0,Marc Webb
225000000.0,618723803.0,2025-07-11,Action|Adventure|Science Fiction,7.0,395000,129.0,James Gunn
220000000.0,142249983.0,2025-10-10,Action|Adventure|Science Fiction,6.2,75000,119.0,Joachim Rønning
220000000.0,206136825.0,2023-11-10,Action|Adventure|Science Fiction,5.5,162000,105.0,Nia DaCosta
210000000.0,4000000.0,2025-11-26,Thriller|Mystery|Comedy,7.201,2154,145.0,Rian Johnson
205000000.0,440181226.0,2023-12-22,Action|Adventure|Fantasy,5.6,117000,124.0,James Wan
205000000.0,365309519.0,2020-08-28,Action|Science Fiction|Thriller,7.3,680000,150.0,Christopher Nolan
202428035.0,211674.0,2022-01-14,Adventure|Science Fiction|Thriller,3.5,4800,98.0,Serik Beyseu
200000000.0,441656550.0,2023-06-08,Action|Adventure|Science Fiction,6.0,130000,127.0,Steven Caple Jr.
200000000.0,222435664.0,2023-12-01,Action|Adventure|Biography,6.3,185000,158.0,Ridley Scott
200000000.0,722631756.0,2024-12-20,Animation|Adventure|Drama,6.6,81000,118.0,Barry Jenkins
200000000.0,521858728.0,2025-07-24,Action|Adventure|Science Fiction,6.8,252000,115.0,Matt Shakman
200000000.0,633742436.0,2025-06-27,Action|Drama|Sport,7.6,331000,155.0,Joseph Kosinski
200000000.0,726229501.0,2021-05-19,Action|Adventure|Crime,7.016,7610,143.0,Justin Lin
200000000.0,521858728.0,2025-07-23,Science Fiction|Adventure|Action,6.972,3045,115.0,Matt Shakman
200000000.0,69965374.0,2020-09-04,Action|Adventure|Drama,5.8,167000,115.0,Niki Caro
200000000.0,496444308.0,2023-06-17,Animation|Adventure|Comedy,7.0,162000,101.0,Peter Sohn
200000000.0,402064899.0,2021-11-29,Action|Adventure|Fantasy,6.2,424000,156.0,Chloé Zhao
200000000.0,169601036.0,2020-12-18,Action|Adventure|Fantasy,5.3,310000,151.0,Patty Jenkins
200000000.0,432243292.0,2022-11-26,Action|Adventure|Fantasy,7.3,485000,132.0,Destin Daniel Cretton
200000000.0,470116094.0,2021-03-26,Action|Science Fiction|Thriller,6.3,266000,113.0,Adam Wingard
200000000.0,14400000.0,2021-07-02,Action|Adventure|Drama,6.6,252000,138.0,Chris McKay
200000000.0,220889446.0,2021-07-29,Action|Adventure|Comedy,6.5,226000,127.0,Jaume Collet-Serra
200000000.0,726229501.0,2022-01-07,Action|Crime|Thriller,5.2,179000,143.0,Justin Lin
200000000.0,379751655.0,2021-07-09,Action|Adventure|Science Fiction,6.6,474000,134.0,Cate Shortland
200000000.0,,2022-11-18,Comedy|Family|Fantasy,6.6,59000,127.0,Sean Anders
200000000.0,271433313.0,2023-06-15,Action|Adventure|Fantasy,6.6,246000,144.0,Andy Muschietti
200000000.0,476071180.0,2023-02-16,Action|Adventure|Comedy,6.0,267000,124.0,Peyton Reed
200000000.0,158772599.0,2023-10-20,Crime|Drama|History,7.5,304000,206.0,Martin Scorsese
200000000.0,626571697.0,2022-02-01,Action|Drama|History,5.6,1700,153.0,"Hark Tsui, Kaige Chen, Dante Lam"
200000000.0,226425420.0,2022-06-17,Animation|Action|Adventure,6.1,135000,105.0,Angus MacLane
200000000.0,178143.0,2021-11-12,Action|Comedy|Thriller,6.3,352000,118.0,Rawson Marshall Thurber
200000000.0,902548476.0,2021-09-30,Action|Drama|History,5.5,4800,176.0,"Kaige Chen, Lee Moon Ho, Jianxin Huang"
200000000.0,1921426073.0,2021-12-16,Action|Adventure|Fantasy,8.1,1000000,148.0,Jon Watts
200000000.0,1338073645.0,2024-07-26,Action|Adventure|Comedy,7.5,560000,128.0,Shawn Levy
200000000.0,1698863816.0,2024-06-14,Animation|Adventure|Comedy,7.5,246000,96.0,Kelsey Mann
200000000.0,96221061.0,2024-02-10,Action|Comedy|Thriller,5.6,99000,139.0,Matthew Vaughn
