id,title,budget,revenue,release_date,genres,vote_average,vote_count,runtime,original_language,director
27688034,the moon,28000000000.0,5207157.0,2023-08-02,Action|Adventure|Drama,5.8,10000,129,en,Kim Yong-hwa
14810692,escape from mogadishu,24000000000.0,29902716.0,2021-07-28,Action|Drama|Thriller,7.0,8400,121,en,Ryoo Seung-wan
27433995,jumbo,22000000000.0,545094.0,2025-08-08,Animation|Adventure|Comedy,7.9,3600,102,en,Ryan Adriandhy
15575470,project wolf hunting,12000000000.0,3872374.0,2022-09-21,Action|Crime|Horror,6.1,9200,122,en,Hongsun Kim
31254554,wonderland,10000000000.0,4270030.0,2024-06-05,Drama|Science Fiction,6.2,3000,113,en,"Sharon S. Park, Kim Tae-yong"
6277462,brahmastra part one: shiva,4100000000.0,50164785.0,2022-09-09,Action|Adventure|Fantasy,5.6,115000,167,en,Ayan Mukerji
11737936,walnut tree,2000000000.0,,2020-02-01,Drama|History|War,7.5,3000,100,en,Mohammad Hossein Mahdavian
10028196,laal singh chaddha,1800000000.0,12093536.0,2022-08-11,Comedy|Drama|Romance,5.6,181000,159,en,Advait Chandan
8205028,the story of my wife,1150000000.0,326636.0,2021-09-23,Drama|History|Romance,6.2,3400,169,en,Ildikó Enyedi
8345300,marakkar: lion of the arabian sea,1000000000.0,1775360.0,2021-12-02,Action|Drama|History,5.8,9600,181,en,Priyadarshan
10737918,shin ultraman,900000000.0,32137136.0,2022-09-30,Action|Adventure|Drama,6.3,4900,112,en,"Shinji Higuchi, Ikki Todoroki"
9044418,mr-9: do or die,800000000.0,109706.0,2023-08-25,Action|Drama|Thriller,3.4,1500,106,en,Asif Akbar
4139928,the legend of maula jatt,700000000.0,13941539.0,2022-10-13,Action|Drama|Fantasy,8.4,12000,153,en,Bilal Lashari
8060328,attraction 2: invasion,650000000.0,16653687.0,2020-01-01,Action|Science Fiction,5.6,6900,134,en,Fedor Bondarchuk
9263550,rocketry: the nambi effect,600000000.0,398615.0,2022-07-01,Biography|Drama,8.6,62000,157,en,Madhavan
10735686,toxikoma,545000000.0,516441.0,2021-09-02,Biography|Drama,7.0,3200,124,en,Gábor Herendi
11536262,mosagallu,510000000.0,,2021-03-19,Crime|Drama|Thriller,4.5,3000,85,en,Jeffrey Gee Chin
10525672,silver skates,500000000.0,7099734.0,2020-12-10,Adventure|Drama|Romance,7.1,8800,130,en,Michael Lockshin
15501640,drishyam 2,500000000.0,2973347.0,2022-11-18,Crime|Drama|Mystery,8.2,52000,140,en,Abhishek Pathak
507086,jurassic world dominion,465000000.0,1004004592.0,2022-06-01,Adventure|Action|Science Fiction,6.611,6918,147,en,Colin Trevorrow
30829309,pegasus 2,422878491.0,422878491.0,2024-02-10,Comedy|Drama|Sport,6.9,1500,121,en,Han Han
9419884,doctor strange in the multiverse of madness,414900000.0,955775804.0,2022-05-06,Action|Adventure|Fantasy,6.9,541000,126,en,Sam Raimi
1757678,avatar: fire and ash,400000000.0,1483786296.0,2025-12-19,Animation|Action|Adventure,7.4,136000,197,en,James Cameron
9603208,mission: impossible - the final reckoning,400000000.0,598767057.0,2025-05-30,Action|Adventure|Thriller,7.2,221000,169,en,Christopher McQuarrie
