budget,revenue,release_date,genres,runtime,director,has_budget,director_missing
45351643.999321274,19.0,2024-09-18,Unknown,2.0,Caleb Jonathan Sherwood,1,0
320390.0,320390.0,2025-01-17,Crime|Drama|Thriller,96.0,J.C. Lee,0,0
2866783.0,3481520.0,2025-08-29,Action|Comedy|Horror,102.0,Macon Blair,0,0
11675627.0,11675627.0,2025-11-07,Biography|Drama|History,103.0,Cyrus Nowrasteh,0,0
53.0,13.0,2022-05-13,War|Action,5.0,Dan Levy,0,0
80000000.0,103323366.0,2025-05-02,Action|Crime|Drama,132.0,Gavin O&apos;Connor,0,0
45351643.999982715,7790.0,2024-05-07,Horror,82.0,Mark Polonia,1,0
5.0,1.0,2022-04-06,Western|Drama|Comedy|Crime|Family,3.0,BunCactus,0,0
1.0,2.0,2024-03-27,Action|Thriller|Comedy,4.0,Nuxle 100,0,0
7502846.0,7502846.0,2021-06-25,Action|Adventure|Thriller,109.0,Jonathan Hensleigh,0,0
68749.0,68749.0,2023-03-17,Action|Adventure|Drama,100.0,Herbert James Winterstern,0,0
123107.0,137984.0,2023-06-23,Drama|Fantasy|Horror,91.0,Bomani J. Story,0,0
11478326.0,11830860.0,2023-10-27,Documentary,108.0,Stephen Gray,0,0
45351643.999469884,1000.0,2025-03-07,Drama|Thriller,20.0,Zaion Bozzetti,1,0
45351644.00009021,77145.0,2023-04-13,Documentary,95.0,Richard Kaufman,1,0
9000.0,1.0,2023-10-19,Family|Drama,45.0,blas armelin,0,0
174036.0,174036.0,2022-10-25,Action|Horror|Thriller,94.0,Tommy Boulding,0,0
150000000.0,163692228.0,2021-07-15,Animation|Adventure|Comedy,115.0,Malcolm D. Lee,0,0
99296.0,99296.0,2024-06-03,Comedy|Romance,116.0,Nick Moore,0,0
148582.0,3552126.0,2024-01-26,Action|Adventure|Drama,90.0,Claudio Fäh,0,0
20.0,5.0,2025-09-26,Drama,3.0,Youssef Fahmy,0,0
2000000.0,6175213.0,2022-09-19,Horror|Mystery|Thriller,88.0,Timo Vuorensola,0,0
650000000.0,16653687.0,2020-01-01,Action|Science Fiction,134.0,Fedor Bondarchuk,0,0
2000000.0,3886139.0,2026-02-13,Adventure|Comedy|Science Fiction,100.0,Matt Johnson,0,0
3200000.0,360868.0,2021-09-23,Drama|History|War,94.0,Peter Bebjak,0,0
40000000.0,89400711.0,2025-03-28,Action|Thriller,116.0,David Ayer,0,0
7665865.0,7697028.0,2023-08-25,Biography|Drama|Sport,126.0,Jeff Celentano,0,0
1123693.0,1123693.0,2020-08-07,Adventure|Horror|Thriller,98.0,Andrew Traucki,0,0
1463643.0,1463643.0,2023-09-01,Horror|Thriller,96.0,Eren Celeboglu,0,0
5500000.0,457144.0,2021-02-12,Action|Comedy|Horror,88.0,Kevin Lewis,0,0
1232060.0,1232060.0,2025-04-18,Drama|History,133.0,Karan Singh Tyagi,0,0
10000000.0,1905058.0,2021-08-13,Comedy|Drama|Music,111.0,Sian Heder,0,0
10.0,11.0,2022-09-16,Drama,2.0,S Adhikari,0,0
100.0,5.0,2024-05-09,Action|Crime|Romance,7.0,Jared Marshall,0,0
45351644.00260374,1000000.0,2025-10-27,Documentary,399.0,Unknown,1,0
75.0,300.0,2021-03-03,Drama|Documentary|Fantasy,4.0,Nicole Toporowski,0,0
1579580.0,1579580.0,2020-11-06,Drama|Family,92.0,Charles Martin Smith,0,0
30.0,5.0,2024-08-16,Drama,4.0,Aldo Baruc,0,0
40.0,10.0,2022-08-11,Adventure|Horror|Comedy,100.0,Ben Nehmer,0,0
100.0,130.0,2023-05-13,Unknown,25.0,Alex Ferreira,0,0
25092.0,25092.0,2020-10-02,Drama|Horror|Mystery,93.0,Thomas Robert Lee,0,0
3622369.0,3622369.0,2025-02-05,Drama,114.0,Max Webster,0,0
45351644.000090234,1.0,2022-02-13,Family,95.0,Unknown,1,0
2072173.0,19510578.0,2021-10-13,Adventure|Drama|Family,99.0,Gilles de Maistre,0,0
45351644.00013988,142591.0,2021-07-29,Drama,101.0,Gaysorn Thavat,1,0
21575.0,21575.0,2022-07-29,Drama|Romance,98.0,Katie Holmes,0,0
1025958.0,5215895.0,2024-09-27,Biography|Drama,118.0,Nora Fingscheidt,0,0
3081.0,3081.0,2025-04-25,Crime|Drama,87.0,Danny A. Abeckaser,0,0
20762.0,20762.0,2023-10-30,Horror|Mystery,98.0,Stephen Cognetti,0,0
11000000.0,9811703.0,2025-10-22,Action|War,89.0,Jalmari Helander,0,0
1789472.0,1789472.0,2026-03-20,Drama|History|War,123.0,Kei Ishikawa,0,0
45351643.99968506,100000000.0,2024-08-19,Documentary,46.0,moi.digital,1,0
3000000.0,20322.0,2020-09-04,Drama,117.0,John Leguizamo,0,0
1.0,2.0,2024-09-17,Horror,1.0,Shourin Chakraborty,0,0
449020.0,3344788.0,2024-09-13,Crime|Drama|Mystery,101.0,Anand Tucker,0,0
220715.0,220715.0,2024-04-16,Documentary|Biography|Sport,103.0,Tudor Giurgiu,0,0
124772.0,404492.0,2021-05-14,Horror|Thriller,81.0,David Charbonier,0,0
