id;title;budget;revenue;release_date;genres;vote_avg;vote_cnt;runtime;lang;director;metascore;certificate;pop
6723592;Tenet;205000000;365309519;2020-08-28;Action|Sci-Fi|Thriller;7300;680000;150;en;Christopher Nolan;69;NaN;680000
2948372;Soul;150000000;121977511;2020-12-25;Animation|Adventure|Comedy;8000;444000;100;en;Pete Docter, Kemp Powers;83;NaN;444000
8332922;A Quiet Place Part II;61000000;297372261;2021-05-28;Drama|Horror|Sci-Fi;7200;320000;97;en;John Krasinski;71;NaN;320000
7126948;Wonder Woman 1984;200000000;169601036;2020-12-18;Action|Adventure|Fantasy;5300;310000;151;en;Patty Jenkins;60;NaN;310000
8936646;Extraction;65000000;NaN;2020-04-24;Action|Crime|Thriller;6800;288000;116;en;Sam Hargrave;56;NaN;288000
1051906;The Invisible Man;7000000;144492724;2020-02-28;Drama|Horror|Mystery;7100;282000;124;en;Leigh Whannell;72;NaN;282000
7713068;Birds of Prey and the Fantabulous Emancipation of One Harley Quinn;84500000;205537933;2020-02-07;Action|Comedy|Crime;6100;281000;109;en;Cathy Yan;60;NaN;281000
9620292;Promising Young Woman;6460965;18854166;2021-04-02;Crime|Drama|Mystery;7500;253000;113;en;Emerald Fennell;72;NaN;253000
7846844;Enola Holmes;20000000;NaN;2020-09-23;Adventure|Crime|Drama;6600;244000;123;en;Harry Bradbeer;68;NaN;244000
10272386;The Father;6000000;24048935;2021-02-26;Drama|Mystery;8200;242000;97;en;Florian Zeller;88;PG-13;242000
10288566;Another Round;12745392;12745392;2020-09-24;Comedy|Drama;7700;224000;117;en;Thomas Vinterberg;79;NaN;224000
9770150;Nomadland;5000000;39458207;2021-02-19;Drama;7300;217000;107;en;Chloé Zhao;87;R;217000
9484998;Palm Springs;5000000;1512871;2020-07-10;Comedy|Fantasy|Mystery;7400;212000;90;en;Max Barbakow;83;NaN;212000
7556122;The Old Guard;70000000;NaN;2020-07-10;Action|Thriller;6700;209000;125;en;Gina Prince-Bythewood;70;NaN;209000
1070874;The Trial of the Chicago 7;35000000;NaN;2020-10-16;Drama|History|Thriller;7700;205000;129;en;Aaron Sorkin;76;NaN;205000
1502397;Bad Boys for Life;90000000;426505244;2020-01-17;Action|Comedy|Crime;6500;196000;124;en;Adil El Arbi, Bilall Fallah;59;NaN;196000
3794354;Sonic the Hedgehog;85000000;319715683;2020-02-21;Action|Adventure|Comedy;6500;191000;99;en;Jeff Fowler;47;NaN;191000
7146812;Onward;175000000;141914643;2020-03-06;Animation|Adventure|Comedy;7400;185000;102;en;Dan Scanlon;61;NaN;185000
7395114;The Devil All the Time;NaN;NaN;2020-09-10;Crime|Drama|Thriller;7100;168000;138;en;Antonio Campos;55;NaN;168000
4566758;Mulan;200000000;69965374;2020-09-04;Action|Adventure|Drama;5800;167000;115;en;Niki Caro;66;PG-13;167000
7737786;Greenland;35000000;52300000;2021-02-05;Action|Adventure|Thriller;6400;165000;119;en;Ric Roman Waugh;64;NaN;165000
13143964;Borat Subsequent Moviefilm;NaN;NaN;2020-10-23;Comedy;6600;164000;95;en;Jason Woliner;68;R;164000
2222042;Love and Monsters;30000000;1070714;2020-10-16;Action|Adventure|Comedy;6900;159000;109;en;Michael Matthews;63;PG-13;159000
9893250;I Care a Lot;14000000;1351662;2021-02-19;Comedy|Crime|Drama;6400;158000;118;en;J Blakeson;66;NaN;158000
8244784;The Hunt;14000000;10550350;2020-03-13;Action|Horror|Thriller;6600;152000;90;en;Craig Zobel;50;R;152000
8503618;Hamilton;16946377;20943625;2020-07-03;Biography|Drama|History;8300;138000;160;en;Thomas Kail;88;PG-13;138000
6048922;Greyhound;50300000;NaN;2020-07-10;Drama|History|War;7000;132000;91;en;Aaron Schneider;64;NaN;132000
10633456;Minari;2000000;15288578;2021-02-26;Drama;7400;124000;115;en;Lee Isaac Chung;89;NaN;124000
8633478;Run;5184368;5184368;2020-11-20;Drama|Horror|Mystery;6700;112000;90;en;Aneesh Chaganty;67;NaN;112000
7939766;I'm Thinking of Ending Things;NaN;NaN;2020-09-04;Drama|Thriller;6500;109000;134;en;Charlie Kaufman;78;NaN;109000
8580274;Eurovision Song Contest: The Story of Fire Saga;35000000;NaN;2020-06-26;Comedy|Music;6500;109000;123;en;David Dobkin;50;PG-13;109000
10886166;365 Days;9458590;9458590;2020-02-07;Drama|Romance;3300;108000;114;en;Barbara Bialowas, Tomasz Mandes;NaN;NaN;108000
5774060;Underwater;80000000;40882928;2020-01-10;Action|Adventure|Horror;5900;108000;95;en;William Eubank;48;NaN;108000
8629748;Spenser Confidential;95000000;NaN;2020-03-06;Action|Comedy|Crime;6200;106000;111;en;Peter Berg;49;R;106000
10618286;Mank;25000000;NaN;2020-12-04;Biography|Drama;6800;104000;131;en;David Fincher;79;NaN;104000
7550000;Project Power;85000000;NaN;2020-08-14;Action|Crime|Sci-Fi;6000;103000;113;en;Henry Joost, Ariel Schulman;51;NaN;103000
6878306;News of the World;38000000;12668325;2020-12-25;Action|Adventure|Drama;6800;101000;118;en;Paul Greengrass;73;PG-13;101000
4682266;The New Mutants;67000000;49169594;2020-09-02;Action|Horror|Mystery;5300;101000;94;en;Josh Boone;43;NaN;101000
10539608;The Midnight Sky;70018;70018;2020-12-23;Adventure|Drama|Sci-Fi;5700;94000;118;en;George Clooney;58;NaN;94000
11464826;The Social Dilemma;NaN;NaN;2020-09-09;Documentary|Drama;7600;94000;94;en;Jeff Orlowski-Yang;78;NaN;94000
1634106;Bloodshot;45000000;39861118;2020-03-13;Action|Adventure|Sci-Fi;5700;91000;109;en;Dave Wilson;44;NaN;91000
7638348;Boss Level;45000000;1753823;2021-02-25;Action|Adventure|Comedy;6800;89000;100;en;Joe Carnahan;56;TV-MA;89000
9866072;Holidate;NaN;NaN;2020-10-28;Comedy|Romance;6200;88000;104;en;John Whitesell;44;TV-MA;88000
10059518;Unhinged;33000000;44331465;2020-07-31;Action|Thriller;6000;86000;90;en;Derrick Borte;40;NaN;86000
9686708;The King of Staten Island;35000000;2180452;2020-06-12;Comedy|Drama;7100;82000;136;en;Judd Apatow;67;R;82000
8368512;The Courier;6613432;26001227;2021-03-19;Drama|History|Mystery;7200;81000;112;en;Dominic Cooke;65;PG-13;81000
10919380;Freaky;5000000;18073433;2020-11-13;Comedy|Horror|Thriller;6300;81000;102;en;Christopher Landon;67;NaN;81000
