id,title,budget,revenue,release_date,genres,vote_average,vote_count,runtime,original_language,director,top_cast,production_companies,popularity,keywords
524369,The Many Saints of Newark,50000000.0,13037403.0,2021-09-22,Crime|Drama,6.304,730,120,en,Alan Taylor,Alessandro Nivola|Leslie Odom Jr.|Michael Gandolfini|Ray Liotta|Michela De Rossi,HBO Films|New Line Cinema|Chase Films,12.3028,"new jersey|italian american|gangster|prequel|mobster|mafia|gang|criminal|1960s|newark, new jersey"
524434,Eternals,200000000.0,402064899.0,2021-11-03,Science Fiction|Action|Adventure,6.777,8984,156,en,Chloé Zhao,Gemma Chan|Richard Madden|Angelina Jolie|Salma Hayek Pinault|Kumail Nanjiani,Marvel Studios,12.9431,superhero|supernatural|based on comic|alien|super power|lgbt|aftercreditsstinger|marvel cinematic universe (mcu)|woman director|sign languages|ancient|god-like
1048933,Frates in Inferno,5.0,1.0,2022-12-02,Horror|Fantasy|Thriller|Comedy,0.0,0,10,en,Jayden Pettit,Barkley Dubis|Jayden Pettit,Withered Up Productions|Jayper Productions,0.0453,
1573695,The Real Dust Busters,60.0,1.0,2025-01-01,Comedy|Science Fiction|Action|Adventure,10.0,1,60,en,Noah Lee,Noah Lee|Will Pletcher|Joshua Hall|Caleb Beecham|Gregory Bishop,PBHproductions,0.0286,
1049574,Darkness of Man,5000000.0,116950000.0,2025-12-18,Action|Crime|Thriller,6.1,5,108,en,James Cullen Bressack,Jean-Claude Van Damme|Emerson Min|Kristanna Loken|Peter Jae|Sticky Fingaz,VMI WorldWide|Sandaled Kid Productions,6.0603,"california|interpol|los angeles, california|informant|father figure|neo-noir|turf war|hidden agenda|bleak|kidnapped|action thriller"
1049638,Rye Lane,,1600000.0,2023-03-17,Comedy|Romance,7.091,237,82,en,Raine Allen-Miller,David Jonsson|Vivian Oparah|Poppy Allen-Quarmby|Simon Manyonda|Benjamin Sarpong-Broni,Searchlight Pictures|BBC Film|BFI|DJ Films|Turnover Films,7.0711,"london, england|karaoke|ex-boyfriend|ex-girlfriend|break-up|costume designer|woman director|peckham|accountant|south london|art exhibition|black british|joyful"
1049942,Bambi: The Reckoning,325000.0,534030.0,2025-07-11,Horror|Thriller,5.609,138,80,en,Dan Allen,Roxanne McKee|Tom Mulheron|Adrian Relph|Nicola Wright|Alex Cooke,Jagged Edge Productions,6.7384,deer|animal horror|bambi|the twisted childhood universe (tcu)
526007,The Night Clerk,,302127.0,2020-02-19,Thriller|Crime|Drama,6.199,879,90,en,Michael Cristofer,Tye Sheridan|Ana de Armas|John Leguizamo|Helen Hunt|Jacque Gray,Highland Film Group|WulfPak Productions|Saban Films|Convergent Media,2.0058,hotel|falsely accused|murder|surveillance camera|autistic
526019,Like a Boss,29000000.0,26900000.0,2020-01-09,Comedy,6.221,661,83,en,Miguel Arteta,Tiffany Haddish|Rose Byrne|Salma Hayek Pinault|Karan Soni|Jacob Latimore,Artists First|Paramount Pictures,1.2656,investor|cosmetics
1050430,The B-Money Experience,,315.0,2022-10-01,,0.0,0,35,en,Benjamin Lewis,Joshua Upson|Anthony Wong|Chloe Le Page|Jessica Rowe|Benjamin Lewis,,0.0071,
1050579,Strictly For The Streets Vol. 1,250000.0,100000.0,2021-02-14,Comedy|Drama,0.0,0,70,en,Katoria Chanyasubkit,Julian Horton|Ashima Franklin|Amanda Surviety,Mommy Lounge Network,0.0844,savannah georgia
1574971,A blue day,10.0,1.0,2022-09-05,Drama,0.0,0,3,en,Aldo Baruc,Aldo Baruc,,0.0,
1574981,Wake up at 4 in the morning,2.0,2.0,2023-01-01,Drama,0.0,0,2,en,Aldo Baruc,Aldo Baruc,,0.0,
1574985,I´m  stupid,1.0,2.0,2023-02-08,Drama,0.0,0,2,en,Aldo Baruc,Aldo Baruc,,0.0,
1574996,After a snowstorm,5.0,5.0,2023-05-06,Documentary,0.0,0,4,en,Aldo Baruc,Aldo Baruc,,0.0143,"montreal, canada"
1575039,The Man With The Ax,95.0,25.0,2025-11-09,,0.0,0,25,en,Declan Horne,,,0.0261,
1575455,Autemials - Concert for EC Foreign Languages Festival 2022,1000.0,50.0,2022-06-03,Music,10.0,5,11,en,Mehmet Arlı,Tulgar Batu Alan|Yanki Desidero|Dilay Gedik|Damla Gürsoy|Deniz Karadaş,Solutely Media|Musidrallyn Records,0.0382,concert|rock band|music|band
526896,Morbius,75000000.0,167635712.0,2022-03-30,Action|Science Fiction|Fantasy,5.924,4727,105,en,Daniel Espinosa,Jared Leto|Matt Smith|Adria Arjona|Jared Harris|Tyrese Gibson,Columbia Pictures|Matt Tolmach Productions|Arad Productions,8.3747,vampire|superhero|based on comic|duringcreditsstinger|supervillain|frustrated
1575472,Autemials - Concert for EC Republic Day Festival 2022,2000.0,25.0,2022-10-29,Music,10.0,5,9,en,Sena Çöğen,Tulgar Batu Alan|Yanki Desidero|Dilay Gedik|Maya Ünalan|Ceyhun Eski,Solutely Media|Musidrallyn Records,0.1298,concert|rock band|music|band
1575480,Autemials - Concert for EC YASD Festival 2023,2000.0,25.0,2023-05-19,Music,10.0,5,16,en,Sena Çöğen,Tulgar Batu Alan|Deniz Karadaş|Yanki Desidero|Maya Ünalan|İpar Telli,Solutely Media|Musidrallyn Records,0.0495,concert|rock band|music|band
1575488,Autemials - Concert for EC Foreign Languages Festival 2023,1000.0,25.0,2023-05-26,Music,10.0,5,11,en,Rabia Bayram,Tulgar Batu Alan|Yanki Desidero|Dilay Gedik|Deniz Karadaş,Solutely Media|Musidrallyn Records,0.0852,concert|rock band|music|band
527400,Come Away,,1746860.0,2020-11-12,Fantasy|Adventure,5.833,312,94,en,Brenda Chapman,Keira Chansa|Jordan A. Nash|Angelina Jolie|David Oyelowo|Reece Yates,Fred Films|Yoruba Saxon|Endurance Media|Hammerstone Studios|TinRes Entertainment|ACE Pictures Entertainment,2.6866,woman director
1576051,SF-08 (Unicorn),281.0,12.0,2025-01-18,Drama|Science Fiction,0.0,0,7,en,Sgt. Neptune,Sgt. Neptune,Channel 10½|South Seas Film & Television School,0.0286,artificial intelligence (a.i.)|surrealism|science fiction
1051891,Thelma,5000000.0,12537071.0,2024-06-21,Action|Comedy|Adventure,6.865,373,98,en,Josh Margolin,June Squibb|Fred Hechinger|Richard Roundtree|Parker Posey|Clark Gregg,Zurich Avenue|Invention Studios|Bandwagon,2.3906,"widow|scam|female protagonist|los angeles, california|scooter|duringcreditsstinger|old-age home|grandmother grandson relationship|elderly woman|old age|self justice|absurd|sentimental|missing grandmother|amused|overbearing family|telephone scam"
1051896,Arcadian,,1235594.0,2024-04-12,Action|Horror|Thriller,6.038,810,92,en,Benjamin Brewer,Nicolas Cage|Jaeden Martell|Maxwell Jenkins|Sadie Soverall|Samantha Coughlan,Highland Film Group|Redline Entertainment|Wild Atlantic Pictures|Aperture Media Partners|Saturn Films,8.0382,monster|post-apocalyptic future|survival|fear|family|isolated farmhouse|calm|relaxed|anxiety|science fiction
